@relation out2

@attribute NomSociete {Accytime,'Adria Business & Technology',Altados,'ALTEN Maroc','Alter Ipso',Aria,'ARIA Tech',Atos,'Atos ','Attijariwafa bank','AXA Group Operations Maroc','AXA Rabat (Axa Services)','BMCI Groupe BNP Paribas',Capgemini,'CGI Technologies et Solutions Maroc',Cnexia,'Deloitte Nearshore',DEVINK,DigitalentRH,'DXC Technology Maroc','Eca Assurances','Econocom Maroc','EnerGetic Link',Eumatech,'Excel Management Conseil','Groupe Adaming','Groupe Label Vie','Hit Radio','HPS Maroc',Intelcia,'Intelcia ITS',Intelcom,'INTM Mediterranée',Involys,'La Marocaine vie','LCI Education','Leet initiative',Leyton,'Lydec et SUEZ',Majorel,'Manpower Agences','Maroc Climate and Security (MCS) - Carrier','Meski Invest - Riva Industries',Neosys,OBS,'Oceane Consulting',Omnishore,Opus.RH,'ORH Assessment','Perenity Software',Preci,ReKrute,Richbond,'Sitel Group','Société Générale Maroc','Sofrecom Services Maroc','SQLI Maroc',TeamDEV,'TNC  The Next Clic ',Umanis,'Utac Ceram Maroc','Webhelp Maroc',Welink}
@attribute Python {false,true}
@attribute Java {false,true}
@attribute Html {false,true}
@attribute Css {false,true}
@attribute Js {false,true}
@attribute Sql {false,true}
@attribute Laravel {false,true}

@data
'Excel Management Conseil',false,false,false,false,false,false,false
'Excel Management Conseil',false,false,false,false,false,true,false
'Excel Management Conseil',false,false,false,false,false,true,false
'Groupe Adaming',false,false,false,false,false,true,false
'Groupe Adaming',false,true,false,false,false,true,false
'Groupe Label Vie',false,false,false,false,false,false,false
'Groupe Label Vie',false,false,false,false,false,false,false
'Hit Radio',false,false,false,false,false,false,false
'Hit Radio',false,false,false,false,false,false,false
'Hit Radio',false,false,false,false,false,false,false
'Hit Radio',true,true,true,true,true,true,false
'Hit Radio',false,false,false,false,false,false,false
'Hit Radio',false,false,false,false,false,false,false
'Hit Radio',false,false,false,false,false,false,false
'Hit Radio',false,false,false,false,false,false,false
'HPS Maroc',false,false,false,false,false,false,false
'HPS Maroc',false,false,false,false,false,false,false
Intelcia,false,false,false,false,false,false,false
'Intelcia ITS',false,false,false,false,false,false,false
'Intelcia ITS',false,false,false,false,false,false,false
'Intelcia ITS',false,false,false,false,false,true,true
'Intelcia ITS',false,false,false,false,false,false,false
'Intelcia ITS',false,false,false,false,false,false,false
'Intelcia ITS',false,false,false,false,false,false,false
'Intelcia ITS',false,false,false,false,false,true,false
'Intelcia ITS',false,false,false,false,false,false,false
'Intelcia ITS',false,true,false,false,false,true,false
'Intelcia ITS',false,true,false,false,false,true,false
Intelcom,false,false,false,false,false,false,false
Intelcom,false,false,false,false,false,false,false
'INTM Mediterranée',false,false,false,false,false,false,false
'INTM Mediterranée',false,false,false,false,false,false,false
'INTM Mediterranée',false,false,false,false,false,false,false
'INTM Mediterranée',false,false,false,false,false,false,false
Involys,false,true,false,true,true,true,false
Involys,false,false,false,false,false,false,false
